Id,AccountStatus__c,BarrDirectAppUser__c,BillToReference__c,BillingCity,BillingCountry,BillingCountryCode,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingSameAsShipping__c,BillingState,BillingStateCode,BillingStreet,ClosedDate__c,ClosedReason__c,CreditStatus__c,CustomerShopNumber__c,CustomerTier__c,DeliveryPointCriteriaMet__c,Depot__c,Email__c,ExternalDBID__c,FieldSalesRegion__c,FieldSalesTerritory__c,FixedDeliveryInstructions__c,FormalCreditCheckAgreed__c,Frequency__c,InvoiceType__c,LastOrderDate__c,MinOrderQuantity__c,Name,PORequired__c,ParentId,Phone,PreferredCallTimeTelesales__c,PreferredVisitTime__c,PreviousAccount__c,PricedUnpricedInvoice__c,PrimaryCallDay__c,PrimaryDeliveryDay__c,PrimaryGridNumber__c,PrimaryPaymentMethod__c,PrimaryStartDate__c,RecordTypeId,SeasonalAccount__c,SeasonalEndDate__c,SeasonalStartDate__c,SecondaryCallDay__c,SecondaryDeliveryDay__c,SecondaryGridNumber__c,SecondaryStartDate__c,SeparateLoad__c,ShippingCity,ShippingCountry,ShippingCountryCode,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStateCode,ShippingStreet,StoreName__c,SupplierRef__c,Symbol__c,Type,aforza__Active__c,aforza__Credit_Amount__c,aforza__Credit_Length__c,aforza__Default_Price_Book__c,aforza__Last_Visit__c,aforza__Operating_Hours__c,aforza__Primary_Contact__c,Parent.Name,PreviousAccount__r.Name,aforza__Default_Price_Book__r.Name,aforza__Operating_Hours__r.Name,aforza__Primary_Contact__r.Name,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
0012z00000CGKBHAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,TODAYS LOCAL,false,0012z00000ByXZ6AAN,,,,,,2,4,4M202TU2,Credit,2022-10-25,0128d000001HhauAAC,false,,,,,,,false,PRESCOT,,,,53.428741,-2.804807,L34 5QE,,,14 ECCLESTONE STREET,TODAYS LOCAL,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBIAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,CLOUGHFIELDS CONVENIENCE,false,0012z00000ByXZ6AAN,,,,,,4,1,1M203TH2,Credit,2022-10-20,0128d000001HhauAAC,false,,,,,,,false,BARNSLEY,,,,53.496283,-1.446464,S74 0HR,,,"1 PARADE, CLOUGHFIELD ROAD",CLOUGHFIELDS CONVENIENCE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBJAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,ONE STOP SHOP,false,0012z00000ByXZ6AAN,,,,,,1,3,3M108MO1,Credit,2022-10-17,0128d000001HhauAAC,false,,,,,,,false,WINSFORD,,,,53.194263,-2.512169,CW7 3AE,,,78 WHARTON ROAD,ONE STOP SHOP,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBKAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,HASH HARRYS FOOD AND WINE,false,0012z00000ByXZ6AAN,,,,,,2,4,4M001TU1,Credit,2022-10-18,0128d000001HhauAAC,false,,,,,,,false,GRIMSBY,,,,53.562414,-0.110434,DN34 4QQ,,,6 CROSS COATES ROAD,HASH HARRYS FOOD AND WINE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBLAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,DUNNES,false,0012z00000ByXZ6AAN,,,,,,2,4,4M202TU2,Credit,2022-10-25,0128d000001HhauAAC,false,,,,,,,false,PRESCOT,,,,53.420506,-2.793049,L35 5BZ,,,64 SHAW LANE,DUNNES,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBMAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,THURLWELLS,false,0012z00000ByXZ6AAN,,,,,,1,3,3M107MO1,Credit,2022-10-17,0128d000001HhauAAC,false,,,,,,,false,MORECAMBE,,,,54.078167,-2.839484,LA4 6BY,,,51 PRINCES CRESCENT,THURLWELLS,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBNAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,HUSSAINS AND SONS (LEES RD) LTD,false,0012z00000ByXZ6AAN,,,,,,3,5,5M201WE2,Credit,2022-10-26,0128d000001HhauAAC,false,,,,,,,false,OLDHAM,,,,53.539892,-2.088958,OL4 1NZ,,,302-304 LEES RD,HUSSAINS AND SONS (LEES RD) LTD,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBOAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,TOP CHOICE,false,0012z00000ByXZ6AAN,,,,,,1,3,3M204MO2,Credit,2022-10-24,0128d000001HhauAAC,false,,,,,,,false,BLACKBURN,,,,53.759763,-2.464969,BB1 5PD,,,278 WHALLEY OLD ROAD,TOP CHOICE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBPAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,AMI NEWS,false,0012z00000ByXZ6AAN,,,,,,1,3,3M207MO2,Credit,2022-10-24,0128d000001HhauAAC,false,,,,,,,false,BOLTON,,,,53.559612,-2.439099,BL3 3AR,,,167 HAMEL STREET,AMI NEWS,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000CGKBQAA5,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,PREMIER - ADWICK ROAD CONVENIENCE STORE,false,0012z00000ByXZ6AAN,,,,,,4,1,1M104TH1,Credit,2022-10-27,0128d000001HhauAAC,false,,,,,,,false,MEXBOROUGH,,,,53.501585,-1.286471,S64 0BA,,,113 ADWICK ROAD,PREMIER - ADWICK ROAD CONVENIENCE STORE,,,,,500,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
